# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Gross Wing B (T + D),0,MLEIZEOZLS,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,21,33
# x,y,z,u,w
1.253999999999999773e+03, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
1.175701356818434078e+03, 0.000000000000000000e+00, -4.404630978031097044e+00, 1.000000000000000000e+00, 1.285000000000000031e-01
1.097372505905523667e+03, 0.000000000000000000e+00, -8.223874765058862835e+00, 1.000000000000000000e+00, 2.530000000000000027e-01
1.019017631160711062e+03, 0.000000000000000000e+00, -1.145699907726359257e+01, 1.000000000000000000e+00, 3.775000000000000022e-01
9.406409164834374224e+02, 0.000000000000000000e+00, -1.410327163082558677e+01, 1.000000000000000000e+00, 5.020000000000000018e-01
8.622463000379204914e+02, 0.000000000000000000e+00, -1.616203688955324225e+01, 1.000000000000000000e+00, 6.265000000000000568e-01
7.838381029321296865e+02, 0.000000000000000000e+00, -1.763293710522981428e+01, 1.000000000000000000e+00, 7.510000000000000009e-01
7.054210834811334507e+02, 0.000000000000000000e+00, -1.851568667599787332e+01, 1.000000000000000000e+00, 8.754999999999999449e-01
6.269999999999998863e+02, 0.000000000000000000e+00, -1.880999999999999517e+01, 1.000000000000000000e+00, 1.000000000000000000e+00
5.485789165188664356e+02, 0.000000000000000000e+00, -1.851568667599788398e+01, 1.000000000000000000e+00, 1.124500000000000055e+00
4.701618970678700862e+02, 0.000000000000000000e+00, -1.763293710522982849e+01, 1.000000000000000000e+00, 1.249000000000000110e+00
3.917536999620793381e+02, 0.000000000000000000e+00, -1.616203688955325291e+01, 1.000000000000000000e+00, 1.373499999999999943e+00
3.133590835165622934e+02, 0.000000000000000000e+00, -1.410327163082559032e+01, 1.000000000000000000e+00, 1.497999999999999998e+00
2.349823688392884264e+02, 0.000000000000000000e+00, -1.145699907726359257e+01, 1.000000000000000000e+00, 1.622500000000000053e+00
1.566274940944759351e+02, 0.000000000000000000e+00, -8.223874765058862835e+00, 1.000000000000000000e+00, 1.746999999999999886e+00
7.829864318156597847e+01, 0.000000000000000000e+00, -4.404630978031095268e+00, 1.000000000000000000e+00, 1.871499999999999941e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
7.829864318156572267e+01, 0.000000000000000000e+00, 4.404630978031081057e+00, 1.000000000000000000e+00, 2.128499999999999837e+00
1.566274940944758782e+02, 0.000000000000000000e+00, 8.223874765058855729e+00, 1.000000000000000000e+00, 2.253000000000000114e+00
2.349823688392884549e+02, 0.000000000000000000e+00, 1.145699907726358902e+01, 1.000000000000000000e+00, 2.377499999999999947e+00
3.133590835165622366e+02, 0.000000000000000000e+00, 1.410327163082558322e+01, 1.000000000000000000e+00, 2.501999999999999780e+00
3.917536999620792812e+02, 0.000000000000000000e+00, 1.616203688955324580e+01, 1.000000000000000000e+00, 2.626500000000000057e+00
4.701618970678697451e+02, 0.000000000000000000e+00, 1.763293710522981783e+01, 1.000000000000000000e+00, 2.750999999999999890e+00
5.485789165188659808e+02, 0.000000000000000000e+00, 1.851568667599787688e+01, 1.000000000000000000e+00, 2.875499999999999723e+00
6.269999999999998863e+02, 0.000000000000000000e+00, 1.880999999999999517e+01, 1.000000000000000000e+00, 3.000000000000000000e+00
7.054210834811339055e+02, 0.000000000000000000e+00, 1.851568667599787688e+01, 1.000000000000000000e+00, 3.124500000000000277e+00
7.838381029321301412e+02, 0.000000000000000000e+00, 1.763293710522981428e+01, 1.000000000000000000e+00, 3.249000000000000110e+00
8.622463000379207188e+02, 0.000000000000000000e+00, 1.616203688955324225e+01, 1.000000000000000000e+00, 3.373499999999999943e+00
9.406409164834375360e+02, 0.000000000000000000e+00, 1.410327163082558322e+01, 1.000000000000000000e+00, 3.498000000000000220e+00
1.019017631160710835e+03, 0.000000000000000000e+00, 1.145699907726360323e+01, 1.000000000000000000e+00, 3.622500000000000053e+00
1.097372505905523212e+03, 0.000000000000000000e+00, 8.223874765058880598e+00, 1.000000000000000000e+00, 3.746999999999999886e+00
1.175701356818433396e+03, 0.000000000000000000e+00, 4.404630978031106814e+00, 1.000000000000000000e+00, 3.871500000000000163e+00
1.253999999999999773e+03, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 4.000000000000000000e+00
1.240918923801133587e+03, 3.499999999999999289e+01, 0.000000000000000000e+00, 1.199999999999999956e+00, 0.000000000000000000e+00
1.170162925034506770e+03, 3.499999999999999289e+01, -3.980325218743891114e+00, 1.199999999999999956e+00, 1.285000000000000031e-01
1.099379628499809769e+03, 3.499999999999999289e+01, -7.431654612252554415e+00, 1.199999999999999956e+00, 2.530000000000000027e-01
1.028572815054178363e+03, 3.499999999999999289e+01, -1.035332643887966775e+01, 1.199999999999999956e+00, 3.775000000000000022e-01
9.577462655547473105e+02, 3.499999999999999289e+01, -1.274467895697891073e+01, 1.199999999999999956e+00, 5.020000000000000018e-01
8.869035387955290162e+02, 3.499999999999999289e+01, -1.460511977929962946e+01, 1.199999999999999956e+00, 6.265000000000000568e-01
8.160485396246500613e+02, 3.499999999999999289e+01, -1.593432562013271614e+01, 1.199999999999999956e+00, 7.510000000000000009e-01
7.451855679804164083e+02, 3.499999999999999289e+01, -1.673203839014417227e+01, 1.199999999999999956e+00, 8.754999999999999449e-01
6.743189238011336784e+02, 3.499999999999999289e+01, -1.699799999999999756e+01, 1.199999999999999956e+00, 1.000000000000000000e+00
6.034522796218510621e+02, 3.499999999999999289e+01, -1.673203839014417937e+01, 1.199999999999999956e+00, 1.124500000000000055e+00
5.325893079776174091e+02, 3.499999999999999289e+01, -1.593432562013272680e+01, 1.199999999999999956e+00, 1.249000000000000110e+00
