# AoA Mach CL CD 
-0.03490659 0.05000000 -0.11500000 0.00127120
0.00000000 0.05000000 0.07910000 0.00113230
0.03490659 0.05000000 0.27325000 0.00409010
0.08726646 0.05000000 0.56333000 0.01431000
0.12217305 0.05000000 0.75515000 0.02490170
0.17453293 0.05000000 1.03914000 0.04620940
-0.03490659 0.15000000 -0.11566000 0.00128460
0.00000000 0.15000000 0.07966000 0.00114580
0.03490659 0.15000000 0.27505000 0.00414830
0.08726646 0.15000000 0.56705000 0.01452530
0.12217305 0.15000000 0.76016000 0.02528510
0.17453293 0.15000000 1.04611000 0.04694410
-0.03490659 0.25000000 -0.11702000 0.00130550
0.00000000 0.25000000 0.08078000 0.00116690
0.03490659 0.25000000 0.27867000 0.00424580
0.08726646 0.25000000 0.57440000 0.01488210
0.12217305 0.25000000 0.76999000 0.02591100
0.17453293 0.25000000 1.05960000 0.04811400
-0.03490659 0.45000000 -0.12230000 0.00139550
0.00000000 0.45000000 0.08514000 0.00126210
0.03490659 0.45000000 0.29266000 0.00466110
0.08726646 0.45000000 0.60272000 0.01636120
0.12217305 0.45000000 0.80772000 0.02847750
0.17453293 0.45000000 1.11112000 0.05284910
-0.03490659 0.65000000 -0.13277000 0.00156490
0.00000000 0.65000000 0.09412000 0.00141530
0.03490659 0.65000000 0.32113000 0.00541910
0.08726646 0.65000000 0.66033000 0.01919270
0.12217305 0.65000000 0.88454000 0.03345780
0.17453293 0.65000000 1.21626000 0.06215970
-0.03490659 0.85000000 -0.15544000 0.00195490
0.00000000 0.85000000 0.11467000 0.00175030
0.03490659 0.85000000 0.38501000 0.00721830
0.08726646 0.85000000 0.78890000 0.02603730
0.12217305 0.85000000 1.05575000 0.04553510
0.17453293 0.85000000 1.45015000 0.08478130
