#      AoA        Mach        CM       Cm_alpha       Cn_beta       NP 
-0.03490659 0.05000000 0.30297000 -7.83333300 0.21940200 21.23579000
0.00000000 0.05000000 0.02875000 -7.87213100 0.22233100 21.25316600
0.03490659 0.05000000 -0.24616000 -7.87257700 0.22643200 21.25846900
0.08726646 0.05000000 -0.65688000 -7.80138200 0.23473800 21.24379000
0.12217305 0.05000000 -0.92765000 -7.70634500 0.24167200 21.21859600
0.17453293 0.05000000 -1.32595000 -7.49358900 0.25408200 21.15652300
-0.03490659 0.15000000 0.30483000 -7.88043500 0.22035600 21.23493600
0.00000000 0.15000000 0.02898000 -7.91851900 0.22331100 21.25321800
0.03490659 0.15000000 -0.24754000 -7.91802600 0.22744700 21.25945900
0.08726646 0.15000000 -0.66059000 -7.84501000 0.23582200 21.24619900
0.12217305 0.15000000 -0.93286000 -7.74849200 0.24281200 21.22193500
0.17453293 0.15000000 -1.33330000 -7.53313300 0.25532300 21.16118400
-0.03490659 0.25000000 0.30868000 -7.97801200 0.22230600 21.23294400
0.00000000 0.25000000 0.02940000 -8.01666400 0.22531700 21.25105700
0.03490659 0.25000000 -0.25054000 -8.01626100 0.22952800 21.25721700
0.08726646 0.25000000 -0.66872000 -7.94248000 0.23804900 21.24402600
0.12217305 0.25000000 -0.94437000 -7.84486000 0.24515900 21.21993100
0.17453293 0.25000000 -1.34979000 -7.62696600 0.25788300 21.15961800
-0.03490659 0.45000000 0.32348000 -8.35480200 0.22966100 21.22343800
0.00000000 0.45000000 0.03101000 -8.39573800 0.23288800 21.24155800
0.03490659 0.45000000 -0.26218000 -8.39576900 0.23739000 21.24814400
0.08726646 0.45000000 -0.70017000 -8.31917600 0.24648600 21.23637800
0.12217305 0.45000000 -0.98891000 -8.21738200 0.25406800 21.21375800
0.17453293 0.45000000 -1.41360000 -7.98983900 0.26762600 21.15644100
-0.03490659 0.65000000 0.35253000 -9.10197800 0.24334400 21.19947200
0.00000000 0.65000000 0.03390000 -9.14675000 0.24698200 21.21698800
0.03490659 0.65000000 -0.28552000 -9.14695800 0.25204900 21.22375900
0.08726646 0.65000000 -0.76271000 -9.06377700 0.26227300 21.21376000
0.12217305 0.65000000 -1.07729000 -8.95305000 0.27078900 21.19331600
0.17453293 0.65000000 -1.54001000 -8.70540300 0.28601100 21.14073600
-0.03490659 0.85000000 0.41337000 -10.70772600 0.26910900 21.12960600
0.00000000 0.85000000 0.03851000 -10.76136900 0.27355600 21.14522200
0.03490659 0.85000000 -0.33731000 -10.76257800 0.27978000 21.15201000
0.08726646 0.85000000 -0.89882000 -10.66615000 0.29238200 21.14566400
0.12217305 0.85000000 -1.26903000 -10.53682200 0.30289900 21.13009300
0.17453293 0.85000000 -1.81365000 -10.24684600 0.32172300 21.08851400
