#   CL      CD      e  
-0.11944000 0.00077200 0.62670000
-0.12010000 0.00077790 0.62830000
-0.12149000 0.00079590 0.63150000
-0.12684000 0.00085870 0.64370000
-0.13741000 0.00098730 0.66590000
-0.15973000 0.00128640 0.70620000
0.07591000 0.00027300 0.85580000
0.07646000 0.00027580 0.85670000
0.07758000 0.00028530 0.85830000
0.08198000 0.00031580 0.86420000
0.09104000 0.00038130 0.87330000
0.11228000 0.00057040 0.88310000
0.27133000 0.00291560 0.91730000
0.27313000 0.00294850 0.91860000
0.27671000 0.00303310 0.92110000
0.29088000 0.00333630 0.93040000
0.31963000 0.00395990 0.94640000
0.38454000 0.00563230 0.97090000
0.56331000 0.01274970 0.88870000
0.56707000 0.01289920 0.89010000
0.57428000 0.01324490 0.89300000
0.60303000 0.01452830 0.90370000
0.66116000 0.01715350 0.92250000
0.79134000 0.02404410 0.95360000
0.75640000 0.02314320 0.88010000
0.76149000 0.02342340 0.88160000
0.77104000 0.02403520 0.88460000
0.80941000 0.02634550 0.89560000
0.88692000 0.03106950 0.91500000
1.06013000 0.04340650 0.94750000
1.04229000 0.04424220 0.87280000
1.04942000 0.04480500 0.87430000
1.06236000 0.04593910 0.87730000
1.11486000 0.05032730 0.88860000
1.22091000 0.05930160 0.90850000
1.45739000 0.08265150 0.94220000
