#    AoA      Mach     CL     CD 
-0.03490659 0.05000000 -0.11691000 0.00123430
0.00000000 0.05000000 0.07874000 0.00107270
0.03490659 0.05000000 0.27452000 0.00395290
0.08726646 0.05000000 0.56717000 0.01397040
0.12217305 0.05000000 0.76079000 0.02438210
0.17453293 0.05000000 1.04765000 0.04537480
-0.03490659 0.15000000 -0.11759000 0.00124220
0.00000000 0.15000000 0.07924000 0.00107430
0.03490659 0.15000000 0.27614000 0.00397390
0.08726646 0.15000000 0.57037000 0.01405620
0.12217305 0.15000000 0.76497000 0.02452630
0.17453293 0.15000000 1.05317000 0.04561360
-0.03490659 0.25000000 -0.11901000 0.00126450
0.00000000 0.25000000 0.08034000 0.00109180
0.03490659 0.25000000 0.27975000 0.00405450
0.08726646 0.25000000 0.57774000 0.01435990
0.12217305 0.25000000 0.77483000 0.02506350
0.17453293 0.25000000 1.06671000 0.04662410
-0.03490659 0.45000000 -0.12449000 0.00134600
0.00000000 0.45000000 0.08461000 0.00115810
0.03490659 0.45000000 0.29378000 0.00439370
0.08726646 0.45000000 0.60634000 0.01564570
0.12217305 0.45000000 0.81303000 0.02733120
0.17453293 0.45000000 1.11903000 0.05086790
-0.03490659 0.65000000 -0.13538000 0.00151520
0.00000000 0.65000000 0.09336000 0.00128280
0.03490659 0.65000000 0.32219000 0.00507010
0.08726646 0.65000000 0.66408000 0.01826380
0.12217305 0.65000000 0.89010000 0.03197170
0.17453293 0.65000000 1.22453000 0.05958680
-0.03490659 0.85000000 -0.15898000 0.00190210
0.00000000 0.85000000 0.11341000 0.00162280
0.03490659 0.85000000 0.38596000 0.00692830
0.08726646 0.85000000 0.79311000 0.02532960
0.12217305 0.85000000 1.06210000 0.04442860
0.17453293 0.85000000 1.45966000 0.08289210
