#    CM       Cm_alpha       Cn_beta       NP 
0.13707000 -3.37014800 0.17927900 0.17927900
0.13785000 -3.38454500 0.18027800 0.18027800
0.13944000 -3.41381200 0.18232600 0.18232600
0.14545000 -3.52012500 0.19011400 0.19011400
0.15672000 -3.69891400 0.20480800 0.20480800
0.17686000 -3.90303700 0.23275200 0.23275200
0.01986000 -3.34308400 0.18893500 0.18893500
0.02013000 -3.35724900 0.18996900 0.18996900
0.02071000 -3.38577600 0.19208900 0.19208900
0.02305000 -3.49004400 0.20014100 0.20014100
0.02814000 -3.66481800 0.21529900 0.21529900
0.04134000 -3.85869400 0.24393900 0.24393900
-0.09613000 -3.29973400 0.19872200 0.19872200
-0.09634000 -3.31359700 0.19979400 0.19979400
-0.09674000 -3.34124500 0.20199100 0.20199100
-0.09801000 -3.44295900 0.21032400 0.21032400
-0.09893000 -3.61286700 0.22598700 0.22598700
-0.09231000 -3.79555000 0.25544500 0.25544500
-0.26657000 -3.20465200 0.21354800 0.21354800
-0.26749000 -3.21793700 0.21467800 0.21467800
-0.26930000 -3.24401700 0.21699800 0.21699800
-0.27577000 -3.34097700 0.22578200 0.22578200
-0.28536000 -3.50203900 0.24227400 0.24227400
-0.28784000 -3.66628200 0.27317800 0.27317800
-0.37703000 -3.12167900 0.22345700 0.22345700
-0.37841000 -3.13449600 0.22462900 0.22462900
-0.38111000 -3.15937000 0.22703500 0.22703500
-0.39090000 -3.25256600 0.23613600 0.23613600
-0.40599000 -3.40674700 0.25322400 0.25322400
-0.41397000 -3.55768300 0.28523200 0.28523200
-0.53662000 -2.96884800 0.23823800 0.23823800
-0.53865000 -2.98085000 0.23947400 0.23947400
-0.54261000 -3.00369000 0.24201400 0.24201400
-0.55711000 -3.09039500 0.25161500 0.25161500
-0.57998000 -3.23285400 0.26965500 0.26965500
-0.59531000 -3.36247400 0.30351500 0.30351500
