#    CM       Cm_alpha       Cn_beta       NP 
0.23372000 -7.50710800 0.27184600 0.27184600
0.23523000 -7.55425300 0.27304000 0.27304000
0.23836000 -7.65217100 0.27548600 0.27548600
0.25045000 -8.03148700 0.28473500 0.28473500
0.27415000 -8.78722700 0.30205900 0.30205900
0.32382000 -10.42489100 0.33508300 0.33508300
-0.02942000 -7.56356000 0.27641500 0.27641500
-0.02956000 -7.61093900 0.27764900 0.27764900
-0.02987000 -7.70981200 0.28017700 0.28017700
-0.03107000 -8.09181000 0.28974800 0.28974800
-0.03389000 -8.85499800 0.30772100 0.30772100
-0.04166000 -10.50714300 0.34217200 0.34217200
-0.29389000 -7.58316300 0.28198900 0.28198900
-0.29568000 -7.63054300 0.28327300 0.28327300
-0.29945000 -7.72988800 0.28590100 0.28590100
-0.31401000 -8.11271300 0.29586700 0.29586700
-0.34354000 -8.87962900 0.31463900 0.31463900
-0.40912000 -10.53820500 0.35086200 0.35086200
-0.69026000 -7.54331600 0.29217600 0.29217600
-0.69453000 -7.59026800 0.29354900 0.29354900
-0.70350000 -7.68941500 0.29636200 0.29636200
-0.73806000 -8.06997800 0.30705100 0.30705100
-0.80775000 -8.83548500 0.32729300 0.32729300
-0.96010000 -10.48855500 0.36680300 0.36680300
-0.95242000 -7.47077200 0.30013500 0.30013500
-0.95831000 -7.51715000 0.30157800 0.30157800
-0.97073000 -7.61556200 0.30453600 0.30453600
-1.01851000 -7.99229700 0.31579000 0.31579000
-1.11483000 -8.75219800 0.33718800 0.33718800
-1.32468000 -10.39152500 0.37929200 0.37929200
-1.33931000 -7.29387100 0.31373000 0.31373000
-1.34759000 -7.33896900 0.31529200 0.31529200
-1.36512000 -7.43538000 0.31849700 0.31849700
-1.43241000 -7.80294100 0.33072000 0.33072000
-1.56815000 -8.54750900 0.35409900 0.35409900
-1.86298000 -10.15127300 0.40066600 0.40066600
