SC(2)-0406	AIRFOIL
1.00000    -0.00160
0.99000    -0.00060
0.98000    0.00040
0.97000    0.00140
0.96000    0.00230
0.95000    0.00320
0.94000    0.00410
0.93000    0.00500
0.92000    0.00590
0.91000    0.00680
0.90000    0.00760
0.89000    0.00840
0.88000    0.00920
0.87000    0.01000
0.86000    0.01080
0.85000    0.01160
0.84000    0.01240
0.83000    0.01320
0.82000    0.01390
0.81000    0.01460
0.80000    0.01530
0.79000    0.01600
0.78000    0.01670
0.77000    0.01740
0.76000    0.01810
0.75000    0.01870
0.74000    0.01930
0.73000    0.01990
0.72000    0.02050
0.71000    0.02110
0.70000    0.02170
0.69000    0.02220
0.68000    0.02270
0.67000    0.02320
0.66000    0.02370
0.65000    0.02420
0.64000    0.02470
0.63000    0.02510
0.62000    0.02550
0.61000    0.02590
0.60000    0.02630
0.59000    0.02670
0.58000    0.02700
0.57000    0.02730
0.56000    0.02760
0.55000    0.02790
0.54000    0.02820
0.53000    0.02840
0.52000    0.02860
0.51000    0.02880
0.50000    0.02900
0.49000    0.02920
0.48000    0.02940
0.47000    0.02950
0.46000    0.02960
0.45000    0.02970
0.44000    0.02980
0.43000    0.02990
0.42000    0.03000
0.41000    0.03010
0.40000    0.03010
0.39000    0.03010
0.38000    0.03010
0.37000    0.03010
0.36000    0.03010
0.35000    0.03010
0.34000    0.03000
0.33000    0.02990
0.32000    0.02980
0.31000    0.02970
0.30000    0.02960
0.29000    0.02950
0.28000    0.02930
0.27000    0.02910
0.26000    0.02890
0.25000    0.02870
0.24000    0.02850
0.23000    0.02820
0.22000    0.02790
0.21000    0.02760
0.20000    0.02730
0.19000    0.02700
0.18000    0.02660
0.17000    0.02620
0.16000    0.02580
0.15000    0.02530
0.14000    0.02480
0.13000    0.02420
0.12000    0.02360
0.11000    0.02300
0.10000    0.02230
0.09000    0.02150
0.08000    0.02070
0.07000    0.01980
0.06000    0.01870
0.05000    0.01750
0.04000    0.01610
0.03000    0.01440
0.02000    0.01220
0.01000    0.00890
0.00500    0.00640
0.00200    0.00430
0.00000    0.00000
0.00200    -0.00430
0.00500    -0.00640
0.01000    -0.00890
0.02000    -0.01220
0.03000    -0.01440
0.04000    -0.01610
0.05000    -0.01750
0.06000    -0.01870
0.07000    -0.01970
0.08000    -0.02060
0.09000    -0.02150
0.10000    -0.02230
0.11000    -0.02300
0.12000    -0.02370
0.13000    -0.02430
0.14000    -0.02490
0.15000    -0.02540
0.16000    -0.02590
0.17000    -0.02640
0.18000    -0.02680
0.19000    -0.02720
0.20000    -0.02760
0.21000    -0.02790
0.22000    -0.02820
0.23000    -0.02850
0.24000    -0.02880
0.25000    -0.02900
0.26000    -0.02920
0.27000    -0.02940
0.28000    -0.02960
0.29000    -0.02970
0.30000    -0.02980
0.31000    -0.02990
0.32000    -0.03000
0.33000    -0.03010
0.34000    -0.03010
0.35000    -0.03010
0.36000    -0.03010
0.37000    -0.03010
0.38000    -0.03000
0.39000    -0.02990
0.40000    -0.02980
0.41000    -0.02970
0.42000    -0.02950
0.43000    -0.02930
0.44000    -0.02910
0.45000    -0.02880
0.46000    -0.02850
0.47000    -0.02820
0.48000    -0.02790
0.49000    -0.02750
0.50000    -0.02710
0.51000    -0.02670
0.52000    -0.02630
0.53000    -0.02580
0.54000    -0.02530
0.55000    -0.02480
0.56000    -0.02430
0.57000    -0.02370
0.58000    -0.02310
0.59000    -0.02250
0.60000    -0.02190
0.61000    -0.02130
0.62000    -0.02070
0.63000    -0.02010
0.64000    -0.01950
0.65000    -0.01880
0.66000    -0.01810
0.67000    -0.01740
0.68000    -0.01670
0.69000    -0.01600
0.70000    -0.01530
0.71000    -0.01460
0.72000    -0.01390
0.73000    -0.01320
0.74000    -0.01250
0.75000    -0.01180
0.76000    -0.01110
0.77000    -0.01040
0.78000    -0.00970
0.79000    -0.00900
0.80000    -0.00840
0.81000    -0.00780
0.82000    -0.00720
0.83000    -0.00660
0.84000    -0.00600
0.85000    -0.00550
0.86000    -0.00500
0.87000    -0.00450
0.88000    -0.00410
0.89000    -0.00370
0.90000    -0.00340
0.91000    -0.00310
0.92000    -0.00290
0.93000    -0.00280
0.94000    -0.00280
0.95000    -0.00290
0.96000    -0.00310
0.97000    -0.00340
0.98000    -0.00390
0.99000    -0.00460
1.00000    -0.00550
