# AoA Mach CL CD
0.00000000 0.30000000 0.00357426 0.00198925
0.00000000 0.50000000 0.00385438 0.00262971
0.00000000 0.70000000 0.00471753 0.00444076
0.00000000 0.85000000 0.00856885 0.01859320
0.05235988 0.30000000 0.20620500 0.00821743
0.05235988 0.50000000 0.21761550 0.01013710
0.05235988 0.70000000 0.24444750 0.01578280
0.05235988 0.85000000 0.29654400 0.05575920
0.10471976 0.30000000 0.40600150 0.02727500
0.10471976 0.50000000 0.42532150 0.03379330
0.10471976 0.70000000 0.46278650 0.05568500
0.10471976 0.85000000 0.51038000 0.13394200
