  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 4412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -12.250  -0.8284   0.04176   0.03861  -0.0832   1.0000   0.0246
 -12.000  -0.8522   0.03908   0.03574  -0.0799   1.0000   0.0247
 -11.750  -0.8699   0.03540   0.03185  -0.0776   0.9997   0.0251
 -11.500  -0.8415   0.03435   0.03082  -0.0796   0.9977   0.0258
 -11.250  -0.8114   0.03347   0.02989  -0.0818   0.9957   0.0265
 -11.000  -0.7822   0.03202   0.02830  -0.0843   0.9939   0.0275
 -10.750  -0.7591   0.02982   0.02579  -0.0862   0.9905   0.0285
 -10.500  -0.7309   0.02822   0.02384  -0.0882   0.9877   0.0293
 -10.250  -0.7053   0.02556   0.02100  -0.0903   0.9856   0.0304
 -10.000  -0.6714   0.02497   0.02039  -0.0924   0.9843   0.0314
  -9.750  -0.6435   0.02420   0.01952  -0.0932   0.9807   0.0325
  -9.500  -0.6134   0.02311   0.01823  -0.0945   0.9778   0.0336
  -9.250  -0.5802   0.02227   0.01716  -0.0962   0.9758   0.0345
  -9.000  -0.5492   0.02031   0.01504  -0.0982   0.9742   0.0359
  -8.750  -0.5132   0.01962   0.01432  -0.1004   0.9731   0.0371
  -8.500  -0.4849   0.01894   0.01355  -0.1008   0.9683   0.0381
  -8.250  -0.4502   0.01823   0.01273  -0.1025   0.9656   0.0394
  -8.000  -0.4135   0.01756   0.01192  -0.1045   0.9637   0.0405
  -7.750  -0.3794   0.01639   0.01059  -0.1062   0.9619   0.0416
  -7.500  -0.3455   0.01547   0.00965  -0.1078   0.9602   0.0430
  -7.250  -0.3201   0.01501   0.00917  -0.1073   0.9539   0.0442
  -7.000  -0.2893   0.01445   0.00854  -0.1080   0.9502   0.0454
  -6.750  -0.2573   0.01389   0.00791  -0.1088   0.9471   0.0467
  -6.500  -0.2303   0.01351   0.00746  -0.1085   0.9415   0.0478
  -6.250  -0.2035   0.01278   0.00668  -0.1083   0.9357   0.0494
  -6.000  -0.1743   0.01225   0.00613  -0.1085   0.9314   0.0512
  -5.750  -0.1485   0.01190   0.00577  -0.1080   0.9242   0.0529
  -5.500  -0.1206   0.01155   0.00536  -0.1078   0.9180   0.0550
  -5.250  -0.0931   0.01118   0.00493  -0.1076   0.9117   0.0575
  -5.000  -0.0666   0.01079   0.00457  -0.1072   0.9038   0.0614
  -4.750  -0.0382   0.01055   0.00427  -0.1071   0.8974   0.0656
  -4.500  -0.0118   0.01018   0.00393  -0.1067   0.8884   0.0727
  -4.250   0.0161   0.00990   0.00363  -0.1066   0.8810   0.0812
  -4.000   0.0434   0.00973   0.00343  -0.1063   0.8716   0.0897
  -3.750   0.0710   0.00948   0.00321  -0.1061   0.8628   0.1006
  -3.500   0.0987   0.00929   0.00301  -0.1060   0.8534   0.1110
  -3.250   0.1262   0.00913   0.00285  -0.1058   0.8432   0.1221
  -3.000   0.1541   0.00898   0.00269  -0.1056   0.8335   0.1353
  -2.750   0.1815   0.00882   0.00255  -0.1054   0.8224   0.1520
  -2.500   0.2090   0.00867   0.00244  -0.1053   0.8113   0.1733
  -2.250   0.2366   0.00855   0.00235  -0.1051   0.8004   0.1993
  -2.000   0.2641   0.00844   0.00229  -0.1049   0.7887   0.2300
  -1.750   0.2915   0.00833   0.00224  -0.1048   0.7765   0.2579
  -1.500   0.3190   0.00826   0.00218  -0.1046   0.7645   0.2832
  -1.250   0.3463   0.00818   0.00213  -0.1044   0.7525   0.3117
  -1.000   0.3734   0.00807   0.00209  -0.1042   0.7397   0.3503
  -0.750   0.4003   0.00792   0.00208  -0.1040   0.7267   0.4055
