  
       XFOIL         Version 6.99
  
 Calculated polar for: CLARK Y AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     5.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.400  -0.2143   0.00674   0.00207  -0.0827   0.7284   0.0243
  -5.200  -0.1916   0.00668   0.00199  -0.0827   0.7207   0.0245
  -5.000  -0.1689   0.00664   0.00192  -0.0827   0.7125   0.0246
  -4.800  -0.1465   0.00653   0.00179  -0.0827   0.7047   0.0250
  -4.600  -0.1239   0.00646   0.00169  -0.0827   0.6970   0.0255
  -4.400  -0.1012   0.00640   0.00162  -0.0827   0.6886   0.0259
  -4.200  -0.0786   0.00636   0.00155  -0.0827   0.6796   0.0262
  -4.000  -0.0560   0.00632   0.00149  -0.0827   0.6702   0.0265
  -3.800  -0.0332   0.00629   0.00143  -0.0828   0.6620   0.0269
  -3.600  -0.0104   0.00625   0.00137  -0.0828   0.6549   0.0272
  -3.400   0.0124   0.00622   0.00132  -0.0828   0.6473   0.0273
  -3.200   0.0350   0.00615   0.00123  -0.0829   0.6400   0.0282
  -3.000   0.0578   0.00611   0.00118  -0.0829   0.6323   0.0288
  -2.800   0.0806   0.00608   0.00113  -0.0829   0.6243   0.0292
  -2.600   0.1033   0.00606   0.00109  -0.0830   0.6159   0.0298
  -2.400   0.1260   0.00604   0.00105  -0.0830   0.6070   0.0301
  -2.200   0.1488   0.00602   0.00100  -0.0830   0.5984   0.0307
  -2.000   0.1714   0.00599   0.00096  -0.0830   0.5893   0.0319
  -1.800   0.1940   0.00598   0.00093  -0.0831   0.5796   0.0327
  -1.600   0.2167   0.00598   0.00090  -0.0831   0.5706   0.0335
  -1.400   0.2393   0.00597   0.00087  -0.0831   0.5607   0.0354
  -1.200   0.2619   0.00595   0.00084  -0.0831   0.5514   0.0388
  -1.000   0.2840   0.00585   0.00080  -0.0831   0.5419   0.0635
  -0.800   0.3064   0.00583   0.00079  -0.0831   0.5319   0.0767
  -0.400   0.3513   0.00581   0.00078  -0.0831   0.5112   0.0997
  -0.200   0.3735   0.00577   0.00077  -0.0831   0.5005   0.1229
  -0.000   0.3957   0.00573   0.00077  -0.0830   0.4897   0.1522
   0.200   0.4177   0.00569   0.00078  -0.0830   0.4780   0.1834
