  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 4412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.500  -0.3426   0.10705   0.10189  -0.0379   1.0000   0.1297
  -9.250  -0.3784   0.10671   0.10171  -0.0397   1.0000   0.1327
  -9.000  -0.4173   0.10641   0.10160  -0.0391   1.0000   0.1332
  -8.750  -0.3682   0.09949   0.09457  -0.0361   1.0000   0.1363
  -8.500  -0.3611   0.09726   0.09235  -0.0338   1.0000   0.1402
  -8.250  -0.3724   0.09561   0.09079  -0.0319   1.0000   0.1442
  -8.000  -0.4032   0.09481   0.09013  -0.0296   1.0000   0.1469
  -7.750  -0.4436   0.09403   0.08951  -0.0287   1.0000   0.1481
  -7.500  -0.4819   0.09082   0.08639  -0.0339   1.0000   0.1493
  -7.250  -0.4471   0.08830   0.08388  -0.0235   1.0000   0.1526
  -7.000  -0.4480   0.08640   0.08202  -0.0209   1.0000   0.1558
  -6.750  -0.4588   0.08412   0.07980  -0.0206   1.0000   0.1600
  -6.500  -0.4847   0.07929   0.07495  -0.0287   1.0000   0.1662
  -6.250  -0.4783   0.07718   0.07290  -0.0243   1.0000   0.1680
  -6.000  -0.4744   0.07516   0.07091  -0.0219   1.0000   0.1710
  -5.750  -0.4612   0.06965   0.06522  -0.0315   0.9966   0.1830
  -5.500  -0.4309   0.06730   0.06289  -0.0316   0.9913   0.1898
  -5.250  -0.3801   0.03672   0.02954  -0.0608   0.9884   0.1054
  -5.000  -0.3390   0.03524   0.02804  -0.0644   0.9827   0.1094
  -4.750  -0.2986   0.03253   0.02478  -0.0679   0.9764   0.1116
  -4.500  -0.2547   0.03033   0.02199  -0.0716   0.9711   0.1152
  -4.250  -0.2155   0.02874   0.02008  -0.0743   0.9639   0.1211
  -4.000  -0.1732   0.02773   0.01892  -0.0774   0.9576   0.1286
  -3.750  -0.1342   0.02656   0.01755  -0.0797   0.9500   0.1373
  -3.500  -0.0916   0.02579   0.01667  -0.0827   0.9435   0.1516
  -3.250  -0.0546   0.02511   0.01596  -0.0846   0.9347   0.1675
  -3.000  -0.0135   0.02457   0.01552  -0.0873   0.9278   0.1881
  -2.750   0.0233   0.02414   0.01507  -0.0891   0.9186   0.2119
  -2.500   0.0621   0.02363   0.01470  -0.0912   0.9110   0.2389
  -2.250   0.0998   0.02306   0.01425  -0.0931   0.9024   0.2721
  -2.000   0.1378   0.02248   0.01382  -0.0950   0.8945   0.3153
  -1.750   0.1759   0.02179   0.01342  -0.0968   0.8865   0.3683
  -1.500   0.2137   0.02102   0.01305  -0.0985   0.8792   0.4420
  -1.250   0.2473   0.02001   0.01285  -0.0990   0.8713   0.6046
  -1.000   0.3011   0.01877   0.01237  -0.1014   0.8681   1.0000
  -0.750   0.3304   0.01877   0.01214  -0.1016   0.8562   1.0000
