  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.500 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
 -18.500  -0.7016   0.15692   0.15163  -0.0165   1.0000   0.0090   1.0000  90.9130
 -18.250  -0.7194   0.14848   0.14028  -0.0211   1.0000   0.0091   1.0000  90.9577
 -18.000  -0.7358   0.14065   0.13038  -0.0254   1.0000   0.0092   1.0000  90.9813
 -17.750  -0.7442   0.13481   0.12350  -0.0287   1.0000   0.0092   1.0000  90.9954
 -17.500  -0.7700   0.12557   0.11278  -0.0338   1.0000   0.0093   1.0000  91.0519
 -17.250  -0.8046   0.11507   0.10116  -0.0398   1.0000   0.0094   1.0000  91.0996
 -17.000  -0.8539   0.10235   0.08771  -0.0474   1.0000   0.0094   1.0000  91.0884
 -16.000  -1.2798   0.02183   0.01334  -0.0997   0.9981   0.0089   1.2347  90.8717
 -15.750  -1.2541   0.02102   0.01272  -0.1004   0.9972   0.0090   1.3506  90.9105
 -15.500  -1.2277   0.02028   0.01214  -0.1012   0.9962   0.0091   1.4663  90.9427
 -15.250  -1.2005   0.01959   0.01159  -0.1020   0.9954   0.0091   1.5749  90.9678
 -15.000  -1.1728   0.01892   0.01106  -0.1029   0.9946   0.0092   1.6736  90.9867
 -14.750  -1.1449   0.01821   0.01049  -0.1038   0.9939   0.0092   1.7623  91.0136
 -14.500  -1.1187   0.01707   0.00954  -0.1047   0.9931   0.0096   1.8558  91.1515
 -14.250  -1.0908   0.01624   0.00885  -0.1057   0.9923   0.0099   1.9611  91.2802
 -14.000  -1.0652   0.01560   0.00834  -0.1058   0.9902   0.0101   2.1637  91.3828
 -13.750  -1.0395   0.01504   0.00790  -0.1059   0.9874   0.0103   2.4113  91.4703
 -13.500  -1.0134   0.01455   0.00751  -0.1060   0.9847   0.0105   2.6657  91.5507
 -13.250  -0.9866   0.01409   0.00714  -0.1062   0.9819   0.0107   2.9206  91.6295
 -13.000  -0.9619   0.01367   0.00682  -0.1059   0.9783   0.0109   3.2145  91.7020
 -12.750  -0.9373   0.01328   0.00651  -0.1054   0.9741   0.0110   3.5492  91.7722
 -12.500  -0.9121   0.01292   0.00621  -0.1051   0.9698   0.0112   3.8837  91.8388
 -12.250  -0.8865   0.01257   0.00593  -0.1048   0.9660   0.0113   4.1701  91.8975
 -12.000  -0.8608   0.01224   0.00567  -0.1046   0.9614   0.0115   4.4972  91.9449
 -11.750  -0.8350   0.01195   0.00542  -0.1043   0.9564   0.0115   4.8505  91.9800
 -11.500  -0.8089   0.01159   0.00512  -0.1041   0.9520   0.0117   5.1548  92.0462
 -11.250  -0.7833   0.01111   0.00472  -0.1038   0.9469   0.0123   5.5018  92.2476
 -11.000  -0.7573   0.01076   0.00443  -0.1035   0.9410   0.0127   5.8925  92.4098
 -10.750  -0.7305   0.01046   0.00419  -0.1034   0.9359   0.0131   6.2295  92.5441
 -10.500  -0.7038   0.01020   0.00397  -0.1033   0.9285   0.0134   6.7071  92.6759
 -10.250  -0.6768   0.00997   0.00377  -0.1031   0.9206   0.0137   7.2152  92.7927
 -10.000  -0.6498   0.00975   0.00358  -0.1030   0.9116   0.0140   7.7885  92.8874
  -9.750  -0.6223   0.00955   0.00340  -0.1029   0.9045   0.0142   8.2361  92.9565
  -9.500  -0.5946   0.00935   0.00323  -0.1029   0.8980   0.0143   8.6471  93.0050
  -9.250  -0.5675   0.00902   0.00295  -0.1028   0.8914   0.0152   9.0590  93.2877
  -9.000  -0.5397   0.00878   0.00276  -0.1028   0.8855   0.0158   9.4312  93.4969
  -8.750  -0.5121   0.00858   0.00259  -0.1027   0.8782   0.0163   9.8907  93.6690
  -8.500  -0.4840   0.00840   0.00245  -0.1027   0.8720   0.0168  10.2759  93.8215
  -8.250  -0.4560   0.00825   0.00231  -0.1027   0.8641   0.0171  10.7689  93.9365
  -8.000  -0.4278   0.00810   0.00218  -0.1028   0.8566   0.0174  11.2357  94.0319
  -7.750  -0.4001   0.00787   0.00199  -0.1027   0.8478   0.0187  11.7867  94.3957
  -7.500  -0.3719   0.00771   0.00186  -0.1027   0.8399   0.0196  12.2755  94.6601
  -7.250  -0.3437   0.00758   0.00175  -0.1028   0.8311   0.0203  12.8233  94.8622
  -7.000  -0.3153   0.00747   0.00165  -0.1028   0.8231   0.0207  13.3220  94.9838
  -6.750  -0.2873   0.00731   0.00151  -0.1028   0.8129   0.0221  13.9528  95.3483
  -6.500  -0.2589   0.00716   0.00139  -0.1028   0.8038   0.0233  14.5189  95.6663
