  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 63-412 AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.750  -0.4759   0.10169   0.09432  -0.0425   1.0000   0.0575
 -10.500  -0.4749   0.09720   0.08987  -0.0440   1.0000   0.0571
 -10.250  -0.4768   0.09223   0.08495  -0.0462   1.0000   0.0567
 -10.000  -0.4815   0.08675   0.07952  -0.0491   1.0000   0.0561
  -9.750  -0.4911   0.08100   0.07383  -0.0525   1.0000   0.0556
  -9.500  -0.5061   0.07551   0.06838  -0.0559   1.0000   0.0551
  -9.250  -0.5259   0.07084   0.06374  -0.0581   1.0000   0.0546
  -9.000  -0.5460   0.06689   0.05978  -0.0588   1.0000   0.0542
  -8.750  -0.5620   0.06310   0.05590  -0.0587   1.0000   0.0539
  -8.500  -0.5747   0.05950   0.05216  -0.0580   1.0000   0.0538
  -8.250  -0.5831   0.05611   0.04857  -0.0568   1.0000   0.0538
  -8.000  -0.5881   0.05292   0.04513  -0.0554   1.0000   0.0543
  -7.750  -0.5903   0.04991   0.04178  -0.0538   1.0000   0.0552
  -7.500  -0.5891   0.04703   0.03848  -0.0521   1.0000   0.0564
  -7.250  -0.5841   0.04432   0.03525  -0.0505   1.0000   0.0575
  -7.000  -0.5745   0.04174   0.03244  -0.0491   1.0000   0.0586
  -6.750  -0.5624   0.03952   0.03001  -0.0478   1.0000   0.0596
  -6.500  -0.5485   0.03754   0.02781  -0.0465   1.0000   0.0610
  -6.250  -0.5334   0.03591   0.02598  -0.0453   1.0000   0.0636
  -6.000  -0.5169   0.03434   0.02410  -0.0441   1.0000   0.0670
  -5.750  -0.4988   0.03284   0.02222  -0.0428   1.0000   0.0695
  -5.500  -0.4673   0.03111   0.02040  -0.0439   0.9948   0.0726
  -5.250  -0.4338   0.02988   0.01905  -0.0454   0.9881   0.0790
  -5.000  -0.4009   0.02870   0.01773  -0.0465   0.9815   0.0855
  -4.750  -0.3671   0.02764   0.01657  -0.0480   0.9749   0.0939
  -4.500  -0.3361   0.02661   0.01552  -0.0493   0.9669   0.1064
  -4.250  -0.3029   0.02552   0.01439  -0.0511   0.9598   0.1257
  -3.750  -0.2443   0.02196   0.01275  -0.0550   0.9451   0.4112
  -3.500  -0.2174   0.02206   0.01317  -0.0540   0.9366   0.5528
  -3.250  -0.1933   0.02254   0.01373  -0.0520   0.9280   0.6249
  -3.000  -0.1707   0.02326   0.01446  -0.0490   0.9199   0.6833
  -2.750  -0.1506   0.02372   0.01484  -0.0460   0.9111   0.7197
  -2.500  -0.1219   0.02392   0.01488  -0.0452   0.9040   0.7447
  -2.250  -0.0966   0.02395   0.01473  -0.0445   0.8955   0.7618
  -2.000  -0.0643   0.02393   0.01452  -0.0452   0.8889   0.7773
  -1.750  -0.0386   0.02390   0.01434  -0.0449   0.8802   0.7916
  -1.500  -0.0070   0.02383   0.01411  -0.0456   0.8734   0.8054
  -1.250   0.0176   0.02381   0.01397  -0.0452   0.8647   0.8192
  -1.000   0.0489   0.02374   0.01377  -0.0458   0.8580   0.8326
  -0.750   0.0728   0.02373   0.01368  -0.0453   0.8492   0.8460
  -0.500   0.1040   0.02366   0.01352  -0.0459   0.8425   0.8594
  -0.250   0.1285   0.02366   0.01346  -0.0455   0.8338   0.8738
   0.000   0.1608   0.02358   0.01332  -0.0464   0.8271   0.8882
   0.250   0.1881   0.02360   0.01331  -0.0466   0.8187   0.9038
   0.500   0.2238   0.02355   0.01322  -0.0482   0.8120   0.9190
   0.750   0.2591   0.02359   0.01325  -0.0501   0.8044   0.9352
   1.000   0.3013   0.02360   0.01325  -0.0532   0.7974   0.9508
   1.250   0.3476   0.02362   0.01328  -0.0572   0.7911   0.9662
   1.500   0.3902   0.02373   0.01342  -0.0608   0.7828   0.9869
   1.750   0.4180   0.02388   0.01356  -0.0616   0.7749   1.0000
   2.000   0.4383   0.02413   0.01381  -0.0611   0.7659   1.0000
   2.250   0.4599   0.02448   0.01416  -0.0609   0.7568   1.0000
