  
       XFOIL         Version 6.96
  
 Calculated polar for: CLARK Y AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -14.750  -0.3156   0.14464   0.14298  -0.0315   1.0000   0.0162
 -14.500  -1.0248   0.03605   0.03333  -0.0892   1.0000   0.0164
 -14.250  -1.0371   0.03284   0.02999  -0.0896   1.0000   0.0166
 -14.000  -1.0347   0.03166   0.02877  -0.0877   1.0000   0.0169
 -13.750  -1.0214   0.03117   0.02828  -0.0864   1.0000   0.0171
 -13.500  -1.0070   0.03090   0.02801  -0.0848   1.0000   0.0174
 -13.250  -0.9948   0.03059   0.02769  -0.0828   1.0000   0.0176
 -13.000  -0.9847   0.03027   0.02735  -0.0804   1.0000   0.0179
 -12.750  -0.9771   0.02987   0.02691  -0.0777   1.0000   0.0182
 -12.500  -0.9635   0.02930   0.02628  -0.0762   0.9996   0.0186
 -12.250  -0.9347   0.02845   0.02533  -0.0778   0.9981   0.0192
 -12.000  -0.9045   0.02781   0.02458  -0.0793   0.9966   0.0196
 -11.750  -0.8800   0.02584   0.02237  -0.0812   0.9947   0.0201
 -11.500  -0.8522   0.02475   0.02122  -0.0827   0.9932   0.0206
 -11.250  -0.8218   0.02455   0.02103  -0.0837   0.9910   0.0210
 -11.000  -0.7899   0.02444   0.02093  -0.0850   0.9891   0.0214
 -10.750  -0.7579   0.02416   0.02062  -0.0864   0.9873   0.0219
 -10.500  -0.7261   0.02364   0.02003  -0.0879   0.9859   0.0225
 -10.250  -0.6946   0.02280   0.01907  -0.0896   0.9846   0.0232
 -10.000  -0.6628   0.02209   0.01823  -0.0911   0.9833   0.0237
  -9.750  -0.6348   0.02188   0.01793  -0.0915   0.9791   0.0241
