#      x          Cp  
     1.00000    0.14680
     0.99223    0.13361
     0.98119    0.11341
     0.96821    0.08810
     0.95402    0.05924
     0.93925    0.02848
     0.92423   -0.00300
     0.90911   -0.03449
     0.89394   -0.06558
     0.87875   -0.09606
     0.86355   -0.12582
     0.84833   -0.15486
     0.83310   -0.18319
     0.81787   -0.21087
     0.80262   -0.23797
     0.78736   -0.26458
     0.77210   -0.29075
     0.75683   -0.31659
     0.74156   -0.34215
     0.72628   -0.36752
     0.71099   -0.39276
     0.69570   -0.41794
     0.68040   -0.44312
     0.66511   -0.46836
     0.64981   -0.49372
     0.63451   -0.51926
     0.61920   -0.54504
     0.60390   -0.57111
     0.58860   -0.59753
     0.57330   -0.62436
     0.55800   -0.65168
     0.54271   -0.67953
     0.52742   -0.70800
     0.51213   -0.73716
     0.49685   -0.76709
     0.48158   -0.79789
     0.46631   -0.82968
     0.45106   -0.86256
     0.43581   -0.89670
     0.42058   -0.93226
     0.40536   -0.96945
     0.39015   -1.00855
     0.37497   -1.04991
     0.35980   -1.09401
     0.34467   -1.14152
     0.32957   -1.19368
     0.31456   -1.25132
     0.29971   -1.32556
     0.28517   -1.39989
     0.27078   -1.46202
     0.25648   -1.52051
     0.24224   -1.57630
     0.22807   -1.63051
     0.21396   -1.68378
     0.19992   -1.73670
     0.18596   -1.78982
     0.17209   -1.84375
     0.15834   -1.89919
     0.14471   -1.95699
     0.13124   -2.01825
     0.11796   -2.08435
     0.10490   -2.15711
     0.09215   -2.23886
     0.07980   -2.33257
     0.06801   -2.44177
     0.05698   -2.57011
     0.04697   -2.72034
     0.03820   -2.89296
     0.03077   -3.08552
     0.02462   -3.29279
     0.01959   -3.50903
     0.01547   -3.74022
     0.01208   -4.10809
     0.00928   -4.53599
     0.00696   -4.74312
     0.00504   -4.99527
     0.00347   -5.27655
     0.00221   -5.53355
     0.00124   -5.70814
     0.00055   -5.72917
     0.00014   -5.51966
     0.00000   -5.05492
     0.00012   -4.35524
     0.00054   -3.37718
     0.00130   -2.26239
     0.00241   -1.22905
     0.00385   -0.41760
     0.00562    0.15414
     0.00773    0.52909
     0.01020    0.76299
     0.01309    0.89958
     0.01648    0.97106
     0.02048    0.99818
     0.02526    0.99515
     0.03103    0.97124
     0.03807    0.93338
     0.04660    0.88683
     0.05678    0.83705
     0.06850    0.78810
     0.08148    0.74349
     0.09535    0.70421
     0.10983    0.67046
     0.12471    0.64145
     0.13988    0.61644
     0.15524    0.59461
     0.17076    0.57532
     0.18639    0.55800
     0.20204    0.54222
     0.21765    0.52760
     0.23322    0.51375
     0.24873    0.50029
     0.26419    0.48678
     0.27962    0.47274
     0.29502    0.45649
     0.31041    0.43648
     0.32583    0.42141
     0.34129    0.40827
     0.35677    0.39662
     0.37228    0.38603
     0.38781    0.37630
     0.40337    0.36728
     0.41894    0.35887
     0.43453    0.35098
     0.45014    0.34355
     0.46576    0.33652
     0.48140    0.32984
     0.49705    0.32347
     0.51271    0.31737
     0.52839    0.31151
     0.54408    0.30586
     0.55977    0.30039
     0.57548    0.29507
     0.59119    0.28989
     0.60691    0.28482
     0.62264    0.27984
     0.63837    0.27495
     0.65411    0.27011
     0.66985    0.26533
     0.68560    0.26058
     0.70133    0.25586
     0.71707    0.25116
     0.73280    0.24645
     0.74854    0.24175
     0.76427    0.23703
     0.78000    0.23230
     0.79573    0.22754
     0.81146    0.22275
     0.82719    0.21792
     0.84292    0.21305
     0.85866    0.20814
     0.87439    0.20319
     0.89013    0.19820
     0.90585    0.19318
     0.92154    0.18813
     0.93714    0.18310
     0.95250    0.17815
     0.96724    0.17355
     0.98068    0.16903
     0.99205    0.16800
     1.00000    0.14680
