  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 22112                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -14.750  -0.4730   0.14524   0.14292   0.0021   1.0000   0.0244
  -8.500  -0.7876   0.03141   0.02619  -0.0104   1.0000   0.0242
  -8.250  -0.7756   0.02865   0.02316  -0.0080   1.0000   0.0241
  -8.000  -0.7617   0.02641   0.02062  -0.0056   1.0000   0.0242
  -7.750  -0.7473   0.02396   0.01789  -0.0034   1.0000   0.0247
  -7.500  -0.7286   0.02283   0.01677  -0.0020   1.0000   0.0252
  -7.250  -0.7091   0.02240   0.01638  -0.0006   1.0000   0.0258
  -7.000  -0.6904   0.02144   0.01533   0.0011   1.0000   0.0264
  -6.750  -0.6716   0.02022   0.01398   0.0030   1.0000   0.0268
  -6.500  -0.6524   0.01912   0.01277   0.0047   1.0000   0.0273
  -6.250  -0.6331   0.01817   0.01172   0.0065   1.0000   0.0280
  -6.000  -0.6139   0.01745   0.01089   0.0083   1.0000   0.0286
  -5.750  -0.5854   0.01633   0.00971   0.0080   0.9987   0.0294
  -5.500  -0.5488   0.01559   0.00903   0.0060   0.9960   0.0307
  -5.250  -0.5110   0.01500   0.00844   0.0039   0.9935   0.0320
  -5.000  -0.4752   0.01435   0.00776   0.0022   0.9896   0.0333
  -4.750  -0.4369   0.01389   0.00726   0.0002   0.9860   0.0343
  -4.500  -0.4004   0.01287   0.00630  -0.0019   0.9832   0.0363
  -4.250  -0.3651   0.01244   0.00589  -0.0034   0.9773   0.0384
  -4.000  -0.3275   0.01201   0.00545  -0.0054   0.9726   0.0403
  -3.750  -0.2960   0.01133   0.00478  -0.0061   0.9643   0.0426
  -3.500  -0.2623   0.01094   0.00441  -0.0072   0.9561   0.0456
  -3.250  -0.2336   0.01068   0.00413  -0.0070   0.9429   0.0483
  -3.000  -0.2073   0.01021   0.00365  -0.0064   0.9279   0.0524
  -2.750  -0.1809   0.00996   0.00338  -0.0057   0.9111   0.0568
  -2.500  -0.1556   0.00965   0.00304  -0.0048   0.8923   0.0644
  -2.250  -0.1306   0.00937   0.00274  -0.0039   0.8709   0.0810
  -2.000  -0.1182   0.00749   0.00224  -0.0015   0.8463   0.4441
  -1.750  -0.0980   0.00694   0.00209   0.0002   0.8172   0.5745
  -1.500  -0.0759   0.00667   0.00201   0.0018   0.7847   0.6534
