  
       XFOIL         Version 6.96
  
 Calculated polar for: DAE-31 AIRFOIL                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.250   0.0565   0.09494   0.09102  -0.1137   0.9217   0.0371
  -9.000   0.0594   0.09305   0.08913  -0.1156   0.9163   0.0379
  -8.750   0.0598   0.09115   0.08723  -0.1181   0.9117   0.0383
  -8.500   0.0755   0.08816   0.08425  -0.1169   0.9083   0.0389
  -8.250   0.0834   0.08613   0.08223  -0.1171   0.9035   0.0395
  -8.000   0.0910   0.08411   0.08022  -0.1175   0.8991   0.0404
  -7.750   0.0965   0.08209   0.07818  -0.1183   0.8951   0.0418
  -7.500   0.0864   0.08103   0.07719  -0.1205   0.8871   0.0429
  -7.250   0.0908   0.07870   0.07488  -0.1207   0.8823   0.0432
  -7.000   0.1084   0.07622   0.07238  -0.1194   0.8799   0.0443
  -6.750   0.1134   0.07456   0.07073  -0.1192   0.8756   0.0458
  -6.500   0.1095   0.07342   0.06965  -0.1191   0.8686   0.0473
  -6.250   0.1076   0.07102   0.06725  -0.1264   0.8619   0.0484
  -6.000   0.1211   0.06884   0.06506  -0.1228   0.8598   0.0491
  -5.750   0.1274   0.06738   0.06364  -0.1224   0.8538   0.0501
  -5.500   0.1367   0.06541   0.06167  -0.1237   0.8483   0.0516
  -5.250   0.1570   0.06087   0.05702  -0.1359   0.8431   0.0544
  -5.000   0.1688   0.05920   0.05536  -0.1328   0.8409   0.0552
  -4.750   0.1742   0.05806   0.05427  -0.1318   0.8329   0.0562
  -4.250   0.2222   0.05118   0.04719  -0.1416   0.8252   0.0621
  -4.000   0.2447   0.04908   0.04504  -0.1426   0.8230   0.0648
