  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 4412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -11.000  -0.7160   0.04811   0.04402  -0.0746   1.0000   0.0293
 -10.750  -0.7336   0.04319   0.03880  -0.0759   0.9982   0.0295
 -10.500  -0.7076   0.04197   0.03758  -0.0781   0.9951   0.0302
 -10.250  -0.6856   0.03969   0.03514  -0.0809   0.9911   0.0309
 -10.000  -0.6657   0.03649   0.03160  -0.0840   0.9866   0.0319
  -9.750  -0.6446   0.03320   0.02786  -0.0867   0.9826   0.0330
  -9.500  -0.6240   0.03032   0.02442  -0.0883   0.9775   0.0343
  -9.250  -0.5962   0.02846   0.02232  -0.0901   0.9744   0.0354
  -9.000  -0.5668   0.02740   0.02119  -0.0915   0.9714   0.0363
  -8.750  -0.5409   0.02632   0.01995  -0.0921   0.9665   0.0373
  -8.500  -0.5106   0.02511   0.01852  -0.0935   0.9632   0.0387
  -8.250  -0.4782   0.02379   0.01689  -0.0952   0.9608   0.0401
  -8.000  -0.4514   0.02265   0.01549  -0.0956   0.9558   0.0411
  -7.750  -0.4219   0.02166   0.01446  -0.0965   0.9516   0.0422
  -7.500  -0.3883   0.02093   0.01367  -0.0981   0.9485   0.0436
  -7.250  -0.3536   0.02013   0.01274  -0.0997   0.9459   0.0453
  -7.000  -0.3286   0.01939   0.01188  -0.0993   0.9383   0.0466
  -6.750  -0.2966   0.01861   0.01093  -0.1003   0.9339   0.0479
  -6.500  -0.2632   0.01782   0.01011  -0.1016   0.9306   0.0496
  -6.250  -0.2384   0.01736   0.00962  -0.1011   0.9226   0.0515
  -6.000  -0.2073   0.01682   0.00901  -0.1018   0.9177   0.0539
  -5.750  -0.1765   0.01627   0.00836  -0.1023   0.9128   0.0562
  -5.500  -0.1501   0.01575   0.00784  -0.1021   0.9050   0.0587
  -5.250  -0.1188   0.01529   0.00733  -0.1028   0.8999   0.0621
  -5.000  -0.0916   0.01493   0.00691  -0.1026   0.8919   0.0664
  -4.750  -0.0619   0.01450   0.00649  -0.1029   0.8853   0.0719
  -4.500  -0.0336   0.01417   0.00610  -0.1029   0.8776   0.0780
  -4.250  -0.0045   0.01380   0.00574  -0.1031   0.8698   0.0852
  -4.000   0.0237   0.01350   0.00542  -0.1030   0.8614   0.0930
  -3.750   0.0529   0.01323   0.00511  -0.1032   0.8532   0.1028
  -3.500   0.0806   0.01297   0.00488  -0.1031   0.8437   0.1135
  -3.250   0.1100   0.01271   0.00461  -0.1032   0.8353   0.1263
  -3.000   0.1373   0.01250   0.00442  -0.1030   0.8245   0.1416
  -2.750   0.1654   0.01228   0.00423  -0.1030   0.8147   0.1604
  -2.250   0.2212   0.01191   0.00393  -0.1028   0.7930   0.2036
  -2.000   0.2491   0.01178   0.00380  -0.1027   0.7821   0.2278
  -1.750   0.2771   0.01164   0.00367  -0.1026   0.7710   0.2516
  -1.500   0.3043   0.01152   0.00358  -0.1023   0.7588   0.2753
  -1.250   0.3316   0.01140   0.00349  -0.1021   0.7470   0.3027
  -1.000   0.3589   0.01128   0.00342  -0.1019   0.7353   0.3368
  -0.750   0.3858   0.01113   0.00336  -0.1017   0.7232   0.3814
  -0.500   0.4118   0.01090   0.00335  -0.1013   0.7108   0.4524
  -0.250   0.4358   0.01053   0.00340  -0.1005   0.6989   0.5870
   0.000   0.4578   0.01019   0.00347  -0.0988   0.6873   0.7261
   0.250   0.4817   0.00995   0.00353  -0.0971   0.6753   0.8695
   0.500   0.5278   0.00992   0.00349  -0.1006   0.6623   0.9867
   0.750   0.5572   0.01003   0.00348  -0.1009   0.6503   1.0000
   1.000   0.5831   0.01016   0.00349  -0.1004   0.6386   1.0000
   1.250   0.6090   0.01030   0.00353  -0.0999   0.6266   1.0000
   1.500   0.6350   0.01044   0.00359  -0.0995   0.6151   1.0000
   1.750   0.6609   0.01060   0.00365  -0.0991   0.6042   1.0000
   2.000   0.6869   0.01076   0.00373  -0.0986   0.5932   1.0000
   2.250   0.7129   0.01092   0.00383  -0.0982   0.5825   1.0000
   2.500   0.7388   0.01110   0.00394  -0.0978   0.5724   1.0000
   2.750   0.7648   0.01128   0.00407  -0.0974   0.5621   1.0000
   3.000   0.7907   0.01147   0.00420  -0.0970   0.5521   1.0000
   3.500   0.8423   0.01186   0.00452  -0.0962   0.5323   1.0000
   3.750   0.8679   0.01207   0.00469  -0.0957   0.5229   1.0000
   4.000   0.8935   0.01229   0.00488  -0.0953   0.5132   1.0000
   4.250   0.9192   0.01250   0.00508  -0.0949   0.5042   1.0000
   4.500   0.9445   0.01273   0.00529  -0.0944   0.4952   1.0000
   4.750   0.9700   0.01294   0.00553  -0.0940   0.4861   1.0000
   5.000   0.9948   0.01320   0.00575  -0.0934   0.4761   1.0000
   5.250   1.0189   0.01344   0.00598  -0.0927   0.4628   1.0000
   5.500   1.0425   0.01369   0.00623  -0.0919   0.4485   1.0000
   5.750   1.0664   0.01395   0.00649  -0.0912   0.4356   1.0000
   6.000   1.0894   0.01423   0.00675  -0.0903   0.4207   1.0000
   6.250   1.1109   0.01456   0.00704  -0.0892   0.4008   1.0000
   6.500   1.1315   0.01493   0.00734  -0.0880   0.3793   1.0000
   6.750   1.1527   0.01529   0.00767  -0.0869   0.3593   1.0000
   7.000   1.1730   0.01571   0.00804  -0.0856   0.3385   1.0000
   7.250   1.1921   0.01619   0.00846  -0.0842   0.3165   1.0000
   7.500   1.2102   0.01672   0.00892  -0.0827   0.2916   1.0000
   7.750   1.2268   0.01733   0.00944  -0.0809   0.2660   1.0000
