# AoA Mach CL CD
-0.03490659 0.30000000 0.14632600 0.00651725
-0.03490659 0.70000000 0.18429400 0.01518190
-0.03490659 0.85000000 0.26761000 0.05066210
0.05235988 0.30000000 0.67833300 0.02443540
0.05235988 0.70000000 0.71852600 0.07485880
0.05235988 0.85000000 0.85660200 0.15636000
0.13962634 0.30000000 1.16038000 0.07348290
0.13962634 0.70000000 0.89930500 0.16912900
0.13962634 0.85000000 1.14842000 0.28008700
0.20943951 0.30000000 1.44547000 0.13652100
0.20943951 0.70000000 0.93514400 0.22830100
0.20943951 0.85000000 1.04160000 0.30339300
