# AoA Mach CL CD
0.00000000 0.30000000 0.01429702 0.00198925
0.00000000 0.50000000 0.01541752 0.00262971
0.00000000 0.70000000 0.01887010 0.00444076
0.00000000 0.85000000 0.03427540 0.01859320
0.05235988 0.30000000 0.82482000 0.00821743
0.05235988 0.50000000 0.87046200 0.01013710
0.05235988 0.70000000 0.97779000 0.01578280
0.05235988 0.85000000 1.18617600 0.05575920
0.10471976 0.30000000 1.62400600 0.02727500
0.10471976 0.50000000 1.70128600 0.03379330
0.10471976 0.70000000 1.85114600 0.05568500
0.10471976 0.85000000 2.04152000 0.13394200
