# AoA Mach CL CD
-0.05235988 0.30000000 -0.09338090 0.00720873
-0.05235988 0.50000000 -0.09432080 0.00734670
-0.05235988 0.70000000 -0.09506040 0.00801592
-0.05235988 0.90000000 -0.09336860 0.00972130
-0.05235988 1.10000000 -0.21282800 0.02472720
-0.05235988 1.30000000 -0.21322900 0.02423670
-0.05235988 1.50000000 -0.21116800 0.02415950
-0.05235988 1.70000000 -0.20213100 0.02346690
-0.05235988 1.90000000 -0.19177600 0.02277610
-0.05235988 2.00000000 -0.18678400 0.02244030
0.00000000 0.30000000 0.15255100 0.00302070
0.00000000 0.50000000 0.15796700 0.00303463
0.00000000 0.70000000 0.16949800 0.00340036
0.00000000 0.90000000 0.19769200 0.00487355
0.00000000 1.10000000 0.13246400 0.01372080
0.00000000 1.30000000 0.07995530 0.01317230
0.00000000 1.50000000 0.05450580 0.01283930
0.00000000 1.70000000 0.03953600 0.01231710
0.00000000 1.90000000 0.02902900 0.01191060
0.00000000 2.00000000 0.02490120 0.01174430
0.01745329 0.30000000 0.23229100 0.00569733
0.01745329 0.50000000 0.23992600 0.00587171
0.01745329 0.70000000 0.25547200 0.00655564
0.01745329 0.90000000 0.29242000 0.00884111
0.01745329 1.10000000 0.24358500 0.01739040
0.01745329 1.30000000 0.17445200 0.01573480
0.01745329 1.50000000 0.14047200 0.01482520
0.01745329 1.70000000 0.11869500 0.01391720
0.01745329 1.90000000 0.10224100 0.01321120
0.01745329 2.00000000 0.09543470 0.01292650
0.05235988 0.30000000 0.39531100 0.01689190
0.05235988 0.50000000 0.40816000 0.01762340
0.05235988 0.70000000 0.43261300 0.01949940
0.05235988 0.90000000 0.48917800 0.02467030
0.05235988 1.10000000 0.46666300 0.03454440
0.05235988 1.30000000 0.36585100 0.02936150
0.05235988 1.50000000 0.31219000 0.02663100
0.05235988 1.70000000 0.27643900 0.02452460
0.05235988 1.90000000 0.24810800 0.02282800
0.05235988 2.00000000 0.23598900 0.02212160
0.10471976 0.30000000 0.65480600 0.05283160
0.10471976 0.50000000 0.67553500 0.05562450
0.10471976 0.70000000 0.71418800 0.06116910
0.10471976 0.90000000 0.80236800 0.07400040
0.10471976 1.10000000 0.80296500 0.08784560
0.10471976 1.30000000 0.66992900 0.07477640
0.10471976 1.50000000 0.57497700 0.06600670
0.10471976 1.70000000 0.51472000 0.06020090
0.10471976 1.90000000 0.46668500 0.05551110
0.10471976 2.00000000 0.44599600 0.05351360
