# AoA Mach CL CD
-0.08726646 0.35000000 -0.27754900 0.02707920
-0.08726646 0.80000000 -0.30396600 0.03083380
-0.08726646 1.10000000 -0.46507700 0.05438820
-0.08726646 1.60000000 -0.37648100 0.04672040
-0.08726646 1.80000000 -0.34939900 0.04437940
0.00000000 0.35000000 0.15196500 0.00366691
0.00000000 0.80000000 0.17796800 0.00426993
0.00000000 1.10000000 0.12590000 0.01386570
0.00000000 1.60000000 0.04703490 0.01306740
0.00000000 1.80000000 0.03288780 0.01266230
0.08726646 0.35000000 0.57235900 0.04076110
0.08726646 0.80000000 0.64815600 0.04885980
0.08726646 1.10000000 0.68789300 0.06650230
0.08726646 1.60000000 0.46390400 0.04871240
0.08726646 1.80000000 0.41466200 0.04465540
0.13962634 0.35000000 0.85304900 0.10072000
0.13962634 0.80000000 0.96396100 0.12004700
0.13962634 1.10000000 1.02104000 0.14495100
0.13962634 1.60000000 0.71411700 0.10503300
0.13962634 1.80000000 0.64153000 0.09555150
