"Global_Index", "x_coord", "y_coord", "z_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
31, 4.405103059900000e+01, 4.665668622200000e-17, 1.761961510100000e+00, 1.189372377678856e+00, 1.466018982148558e-01, 7.433053796095762e-01
23, 4.402743284800000e+01, 6.520107029500000e-02, 1.714319040300000e+00, 1.240151758896300e+00, 2.481606606497437e-01, 7.374942784297439e-01
32, 4.395757819600000e+01, 4.453083816000000e-17, 1.727243776600000e+00, 1.253058402060374e+00, 2.739739469778915e-01, 6.886676822376615e-01
427, 4.412154385000000e+01, 7.892964809200000e-02, 1.729738811100000e+00, 1.178220570412413e+00, 1.242982836819686e-01, 7.594803168242112e-01
426, 4.414447744300000e+01, 4.878240782900000e-17, 1.796677178500000e+00, 1.179784897422224e+00, 1.274269377015913e-01, 7.366075991927638e-01
22, 4.394008508400000e+01, 8.481175990700000e-02, 1.654007036100000e+00, 1.252249840642282e+00, 2.723568241417063e-01, 7.024579076299572e-01
26, 4.386410214600000e+01, 4.240445217000000e-17, 1.692517258000000e+00, 1.266017109774612e+00, 2.998913624063682e-01, 6.794589296519528e-01
33, 4.441446222400000e+01, 7.569699630600001e-02, 1.841903642600000e+00, 1.217168380048728e+00, 2.021939029545998e-01, 7.480063034189296e-01
34, 4.433134720800000e+01, 5.303330687300000e-17, 1.866099628200000e+00, 1.180290925255750e+00, 1.284389933686425e-01, 7.287403718013095e-01
35, 4.442477662200000e+01, 5.515863200000000e-17, 1.900808821600000e+00, 1.173388714974033e+00, 1.146345728052083e-01, 7.530832401579532e-01
635, 4.434903861700000e+01, 1.051807076300000e-01, 1.763253493900000e+00, 1.125852764779769e+00, 1.956267241668108e-02, 7.809785438802409e-01
500, 4.451157763000000e+01, 8.557803549400000e-02, 1.861154536900000e+00, 1.166270620652085e+00, 1.003983841613123e-01, 7.636866877715642e-01
554, 4.447579319800000e+01, 1.259603148900000e-01, 1.756736865900000e+00, 1.092194178533207e+00, -4.775450007644366e-02, 7.939525505594955e-01
0, 5.629292422600000e+01, 6.064776926100000e-03, 1.341010883400000e+00, 1.178373984978751e+00, 1.246051128146450e-01, 7.350305091062507e-01
1, 5.639604631400000e+01, 2.830424547400000e-17, 1.462243407500000e+00, 1.194104682407699e+00, 1.560665076725405e-01, 7.312571117757741e-01
2, 5.642423180500000e+01, 2.062997144400000e-17, 1.336913001500000e+00, 1.189080693540422e+00, 1.460185299379874e-01, 7.265644338433243e-01
213, 5.625753273100000e+01, 6.326018485500000e-03, 1.473193594300000e+00, 1.175870427150490e+00, 1.195979971581233e-01, 7.400081037454704e-01
214, 5.615867022600000e+01, 1.220519935400000e-02, 1.345200729800000e+00, 1.166044204818417e+00, 9.994555249397806e-02, 7.519155712024780e-01
222, 5.636804694600000e+01, 3.592784226500000e-17, 1.586746191500000e+00, 1.194871074108854e+00, 1.575992910748512e-01, 7.242762093365882e-01
3, 5.347624017300000e+01, 1.200786847100000e-01, 1.622281761100000e+00, 1.104236761654002e+00, -2.366933383485303e-02, 8.067965580592353e-01
4, 5.318514778500000e+01, 1.328293131700000e-01, 1.436710224600000e+00, 1.096904803471334e+00, -3.833325020018785e-02, 8.136600379283558e-01
5, 5.327858171200000e+01, 1.256870042600000e-01, 1.755022441600000e+00, 1.099764460030842e+00, -3.261393708117177e-02, 8.117167345705274e-01
76, 5.341354239100000e+01, 1.245959106000000e-01, 1.429960698500000e+00, 1.102605148879837e+00, -2.693255938318329e-02, 8.068148374730832e-01
598, 5.348607732000000e+01, 1.168882213700000e-01, 1.866273838700000e+00, 1.103428226501965e+00, -2.528640413892757e-02, 8.087304971416281e-01
605, 5.364333349600000e+01, 1.161343905200000e-01, 1.423120739800000e+00, 1.107452324022260e+00, -1.723820909833718e-02, 8.020688518944207e-01
607, 5.368498314300000e+01, 1.104119604700000e-01, 1.793419598700000e+00, 1.105442708553048e+00, -2.125744003676022e-02, 8.063772945022135e-01
606, 5.374005792000000e+01, 1.107120139400000e-01, 1.583107770900000e+00, 1.107989081110398e+00, -1.616469492206019e-02, 8.041889148322811e-01
582, 5.306834286300000e+01, 1.343216904600000e-01, 1.658222456200000e+00, 1.096203019287976e+00, -3.973681856690447e-02, 8.147883120359922e-01
64, 5.294796727700000e+01, 1.411885402300000e-01, 1.443741590500000e+00, 1.094311577969247e+00, -4.351970120436288e-02, 8.160666032952641e-01
62, 5.311790760800000e+01, 1.293851193400000e-01, 1.917380118700000e+00, 1.097772488466483e+00, -3.659788020989163e-02, 8.133192239676217e-01
105, 5.336662771200000e+01, 1.189764260800000e-01, 2.052160634800000e+00, 1.100851371413322e+00, -3.044011431621296e-02, 8.107271570595453e-01
60, 5.295658848000000e+01, 1.331918126100000e-01, 2.054301932500000e+00, 1.096836278929967e+00, -3.847029928292266e-02, 8.147180326633066e-01
63, 5.285229674000000e+01, 1.408461307200000e-01, 1.736506304800000e+00, 1.095348001065059e+00, -4.144685501273893e-02, 8.146822380115406e-01
61, 5.318381539200000e+01, 1.234831830900000e-01, 2.205494055800000e+00, 1.098009167236524e+00, -3.612452266980970e-02, 8.134635738807704e-01
6, 5.123851016200000e+01, 1.951891909500000e-01, 1.491661882200000e+00, 1.083598539972291e+00, -6.494577719827532e-02, 8.225401363700691e-01
7, 5.123359631700000e+01, 1.900997261300000e-01, 1.785003039500000e+00, 1.086238111059941e+00, -5.966663502297464e-02, 8.224093450560285e-01
8, 5.148388318900000e+01, 1.881727394000000e-01, 1.485017300200000e+00, 1.089842308319188e+00, -5.245824050448133e-02, 8.214629558013394e-01
106, 5.099311852600000e+01, 2.019312610600000e-01, 1.498177602800000e+00, 1.089175723160590e+00, -5.379141082167660e-02, 8.223688764907677e-01
67, 5.161794751200000e+01, 1.785042193500000e-01, 1.832219647900000e+00, 1.087848372547706e+00, -5.644611204744531e-02, 8.217074532216122e-01
714, 5.139455274700000e+01, 1.800838249700000e-01, 2.087423459400000e+00, 1.086578539676957e+00, -5.898577778894243e-02, 8.235363623782838e-01
728, 5.087730497500000e+01, 1.984421629500000e-01, 1.834472923500000e+00, 1.086845584743581e+00, -5.845168765569575e-02, 8.222648363194142e-01
727, 5.106597415200000e+01, 1.867749879500000e-01, 2.165592403200000e+00, 1.084111897197488e+00, -6.391906274788139e-02, 8.248985556812942e-01
442, 5.173073464000000e+01, 1.808468148600000e-01, 1.478364620900000e+00, 1.087707612309233e+00, -5.672763252439105e-02, 8.194040218503655e-01
15, 5.602879537900000e+01, 1.282983966700000e-16, 3.095271824600000e+00, 1.201536659476413e+00, 1.709304618099696e-01, 7.221337800776563e-01
